arm,complex,n,trifft,streuung,streuung_trimm,lage,orientierung,form,anteil_lage,eff_dim
SigmaDock,5SAK_ZRY,40,True,2.59394269289278,2.1785878650497095,0.7388198785236147,2.3974335207783337,0.6595425646299113,0.0811253137902647,1.1588684205000057
SigmaDock,5SB2_1K2,40,True,0.6254888594309573,0.5226330559504477,0.10898543576683288,0.07259643380302153,0.6116275385085576,0.030359720727204904,2.517514089223854
SigmaDock,5SD5_HWI,40,False,2.416624334055394,2.299547601841026,0.7253758860725105,1.8423456460467198,1.3855199444056698,0.09009650403402579,2.238438322132368
SigmaDock,5SIS_JSM,40,True,1.1926102563066128,1.0990574133449649,0.2955600503183913,0.38319051568931817,1.090013077347822,0.06141781809885004,7.944552686730108
SigmaDock,6M2B_EZO,41,False,1.161778271952017,1.0452181665068485,0.49210462747961975,0.43798683288550677,0.9569374707951835,0.17941898608615706,4.729836106456451
SigmaDock,6M73_FNR,40,True,2.051616225288695,1.72164209504761,0.24773465923115728,1.6605765171360345,1.179085368079773,0.01458079792834009,1.825212593498517
SigmaDock,6T88_MWQ,40,True,1.531456646916547,1.0837499485429625,0.5883323825946166,1.2727970125342676,0.6158021060854361,0.1475829177183248,3.376819097941515
SigmaDock,6TW5_9M2,40,True,3.7553924660097233,3.4716270847353328,0.3915963415739692,3.3127644330843253,1.724881645191913,0.010873430685060498,2.9761709043457607
SigmaDock,6TW7_NZB,40,False,3.4868914557149657,3.0695935033533623,0.7403137328472286,2.9910548953083462,1.6321575334960206,0.04507697402943276,2.9930810109125354
SigmaDock,6VTA_AKN,40,False,4.947196127150525,4.783424048382723,1.90668923438779,4.045016418866989,2.1159224596046355,0.148539368441187,5.844058063452778
SigmaDock,6WTN_RXT,40,True,0.6561564412391597,0.49816635658326663,0.08354574401584501,0.1065440587682886,0.6420356279659698,0.01621189823671711,3.5229435456936518
SigmaDock,6XBO_5MC,40,True,0.9757410744731285,0.691457319410489,0.34221960805924384,0.5182212645962906,0.7525975718762148,0.12301005269657209,4.249211086902759
SigmaDock,6XCT_478,40,False,4.368125228695838,4.2797550087781016,0.6556030840524917,3.6981823252256167,2.2302802736738685,0.02252640119694214,2.2322720529476867
SigmaDock,6XG5_TOP,40,True,1.5599946503400457,1.4769409291123774,0.3859563916354993,0.44125380713684015,1.4456541946580832,0.061211110253720405,2.0510304772075076
