arm,complex,n,moden,moden_echt,gross,eff_moden,p_agree,dmax_intra,hat_korrekte,n_korrekt,gross_richtig,wahl_gross,wahl_anteil,trifft
SigmaDock,5SAK_ZRY,40,3,2,0.75,1.9033317211476086,0.6038461538461538,1.4108734130859375,True,5,False,True,0.75,True
SigmaDock,5SB2_1K2,40,1,1,1.0,1.0,1.0,1.6483701467514038,True,23,True,True,1.0,True
SigmaDock,5SD5_HWI,40,12,7,0.275,8.790726803916712,0.2948717948717949,1.8138926029205322,True,5,False,False,0.1,False
SigmaDock,5SIS_JSM,40,4,3,0.375,3.262248360614051,0.8423076923076923,1.962925910949707,True,15,True,False,0.3,True
SigmaDock,6M2B_EZO,41,5,4,0.3170731707317073,3.9170141762150745,0.8036585365853659,1.80349862575531,True,13,False,False,0.07317073170731707,False
SigmaDock,6M73_FNR,40,5,5,0.725,2.6045239181515187,0.5615384615384615,1.7817339897155762,True,10,False,True,0.725,True
SigmaDock,6T88_MWQ,40,5,5,0.425,4.0601225160016945,0.735897435897436,1.9370145797729492,True,13,False,True,0.425,True
SigmaDock,6TW5_9M2,40,12,9,0.25,8.81810448073461,0.13076923076923078,1.9632617235183716,True,3,False,False,0.1,True
SigmaDock,6TW7_NZB,40,13,6,0.325,7.92922505144524,0.1987179487179487,1.5428400039672852,True,13,True,False,0.075,False
SigmaDock,6VTA_AKN,40,39,1,0.05,38.637453156993885,0.001282051282051282,1.830101728439331,False,0,False,False,0.025,False
SigmaDock,6WTN_RXT,40,2,2,0.95,1.2195906179141718,0.9282051282051282,1.0753942728042603,True,22,True,True,0.95,True
SigmaDock,6XBO_5MC,40,4,1,0.925,1.417337887383506,0.9051282051282051,1.6155929565429688,True,19,True,True,0.925,True
SigmaDock,6XCT_478,40,14,7,0.225,10.036378266880861,0.13846153846153847,1.8448870182037354,True,9,True,False,0.175,False
SigmaDock,6XG5_TOP,40,6,3,0.4,3.782356074931691,0.46282051282051284,1.9390144348144531,True,26,False,False,0.325,True
SigmaDock,6XHT_V2V,40,6,4,0.5,3.7133920744431,0.8474358974358974,1.9680665731430054,True,5,False,True,0.5,True
SigmaDock,6XM9_V55,40,3,3,0.825,1.7654817826684102,0.691025641025641,1.9363692998886108,False,0,False,False,0.05,False
SigmaDock,6YJA_2BA,40,29,9,0.075,26.615296253028006,0.029487179487179487,1.9941736459732056,False,0,False,False,0.05,False
SigmaDock,6YMS_OZH,40,25,8,0.125,20.845832490108887,0.08205128205128205,1.8559318780899048,False,0,False,False,0.05,False
SigmaDock,6YQV_8K2,41,3,2,0.5609756097560976,2.1812307696441335,0.8,1.8439339399337769,True,36,True,False,0.4146341463414634,True
SigmaDock,6YQW_82I,40,4,3,0.4,3.2379835348333255,0.31666666666666665,1.360216498374939,True,7,False,False,0.275,True
SigmaDock,6YR2_T1C,40,20,9,0.15,16.06888959175311,0.10512820512820513,1.6967099905014038,True,1,False,True,0.15,True
SigmaDock,6YRV_PJ8,40,8,5,0.325,5.625360633186479,0.35128205128205126,1.8608804941177368,True,16,False,False,0.125,True
SigmaDock,6YSP_PAL,40,2,1,0.975,1.1240147218730305,0.9846153846153847,1.8764097690582275,True,29,True,True,0.975,True
SigmaDock,6YT6_PKE,41,6,5,0.34146341463414637,4.799062311415125,0.374390243902439,1.7681033611297607,True,12,False,True,0.34146341463414637,False
SigmaDock,6YYO_Q1K,41,3,3,0.5853658536585366,2.6101643561413033,0.573170731707317,1.9164903163909912,True,32,True,False,0.24390243902439024,True
SigmaDock,6Z0R_Q4H,41,10,8,0.3170731707317073,6.726634601146321,0.2573170731707317,1.8596811294555664,True,6,False,False,0.0975609756097561,True
SigmaDock,6Z14_Q4Z,40,3,2,0.9,1.4642109370627328,0.8333333333333334,1.7674553394317627,True,16,False,True,0.9,True
SigmaDock,6Z1C_7EY,40,2,2,0.85,1.5260902731141495,0.7384615384615385,1.7633033990859985,True,20,True,True,0.85,True
SigmaDock,6Z2C_Q5E,40,12,9,0.325,8.176825267414333,0.35512820512820514,1.9319874048233032,True,10,True,True,0.325,True
