arm,complex,seed,rmsd,flag2a
SigmaDock,5SAK_ZRY,0,6.2619049127331134,False
SigmaDock,5SAK_ZRY,1,0.6743924471535674,True
SigmaDock,5SAK_ZRY,10,0.5890647832699627,True
SigmaDock,5SAK_ZRY,11,0.7003248500200131,True
SigmaDock,5SAK_ZRY,12,0.6758614165969554,True
SigmaDock,5SAK_ZRY,13,0.5701044991929098,True
SigmaDock,5SAK_ZRY,14,6.2684371794553195,False
SigmaDock,5SAK_ZRY,15,0.6702173225487712,True
SigmaDock,5SAK_ZRY,16,0.5479511469505687,True
SigmaDock,5SAK_ZRY,17,0.5927150013098852,True
SigmaDock,5SAK_ZRY,18,0.599596437892465,True
SigmaDock,5SAK_ZRY,19,6.284902975384743,False
SigmaDock,5SAK_ZRY,2,2.3046548767898227,False
SigmaDock,5SAK_ZRY,20,0.6289484093840021,True
SigmaDock,5SAK_ZRY,21,1.120457235536755,True
SigmaDock,5SAK_ZRY,22,0.6050544654087847,True
SigmaDock,5SAK_ZRY,23,0.6122378872264886,True
SigmaDock,5SAK_ZRY,24,6.282855490362466,False
SigmaDock,5SAK_ZRY,25,0.6768549709255786,True
SigmaDock,5SAK_ZRY,26,0.724310799235307,True
SigmaDock,5SAK_ZRY,27,0.6683020865513498,True
SigmaDock,5SAK_ZRY,28,6.406180219912642,False
SigmaDock,5SAK_ZRY,29,0.5957748181057069,True
SigmaDock,5SAK_ZRY,3,6.282755243035406,False
SigmaDock,5SAK_ZRY,30,6.26357782106645,False
SigmaDock,5SAK_ZRY,31,0.6604441506373645,True
SigmaDock,5SAK_ZRY,32,0.6240332229403598,True
SigmaDock,5SAK_ZRY,33,6.31712953611932,False
SigmaDock,5SAK_ZRY,34,0.5677629092421503,True
SigmaDock,5SAK_ZRY,35,0.6082439961798944,True
SigmaDock,5SAK_ZRY,36,0.6542616614678457,True
SigmaDock,5SAK_ZRY,37,0.6098913295734643,True
SigmaDock,5SAK_ZRY,38,0.5346248191229264,True
SigmaDock,5SAK_ZRY,39,0.581294701506903,True
SigmaDock,5SAK_ZRY,4,0.6019350703264335,True
SigmaDock,5SAK_ZRY,5,0.5476546772881195,True
SigmaDock,5SAK_ZRY,6,0.8008920384310363,True
SigmaDock,5SAK_ZRY,7,0.6716306975480556,True
SigmaDock,5SAK_ZRY,8,6.255888291974742,False
SigmaDock,5SAK_ZRY,9,0.5359313679111445,True
SigmaDock,5SB2_1K2,0,0.722663975625371,True
SigmaDock,5SB2_1K2,1,0.5048526583733779,True
SigmaDock,5SB2_1K2,10,0.6597885509767506,True
SigmaDock,5SB2_1K2,11,0.5102271441884164,True
SigmaDock,5SB2_1K2,12,0.6581994804008889,True
SigmaDock,5SB2_1K2,13,0.6092621972517254,True
SigmaDock,5SB2_1K2,14,0.6326795310423754,True
SigmaDock,5SB2_1K2,15,0.4909602214029156,True
SigmaDock,5SB2_1K2,16,1.3254954837091426,True
SigmaDock,5SB2_1K2,17,0.9964834404043048,True
SigmaDock,5SB2_1K2,18,0.5873211248258203,True
SigmaDock,5SB2_1K2,19,0.7014329169635541,True
SigmaDock,5SB2_1K2,2,0.4098820915824452,True
SigmaDock,5SB2_1K2,20,0.45882604764768997,True
SigmaDock,5SB2_1K2,21,0.49529693720030205,True
SigmaDock,5SB2_1K2,22,0.6102133992847638,True
SigmaDock,5SB2_1K2,23,0.5669253237126268,True
SigmaDock,5SB2_1K2,24,0.41260185853515835,True
SigmaDock,5SB2_1K2,25,0.5141902857892205,True
SigmaDock,5SB2_1K2,26,0.5896983019590047,True
SigmaDock,5SB2_1K2,27,0.49694723562969967,True
SigmaDock,5SB2_1K2,28,0.695015427646514,True
SigmaDock,5SB2_1K2,29,1.3973319305018403,True
SigmaDock,5SB2_1K2,3,0.6803923919327733,True
SigmaDock,5SB2_1K2,30,0.6310793742998315,True
SigmaDock,5SB2_1K2,31,0.5439614667725402,True
SigmaDock,5SB2_1K2,32,0.7826938490452914,True
SigmaDock,5SB2_1K2,33,1.5379212421317292,True
SigmaDock,5SB2_1K2,34,1.4081549899306778,True
SigmaDock,5SB2_1K2,35,0.4930196047488039,True
